"ESP_COD_FAO"	"ESP_LIB_FAO_FRANCAIS"
"GSI"	"Gobiosoma bosc"
"BFI"	"Boleophthalmus birdsongi"
"IGO"	"Stigmatogobius borneensis"
"LKB"	"Luciogobius albus"
"LBX"	"Lubricogobius exiguus"
"BLQ"	"Bollmannia boqueronensis"
"LKM"	"Callogobius amikami"
"BJN"	"Brachyamblyopus anotus"
"YGA"	"Brachygobius aggregatus"
"TDB"	"Tridentiger barbatus"
"YAA"	"Bryaninops amplus"
"BFR"	"Benthophilus baeri"
"BIF"	"Buenia affinis"
"CBQ"	"Gobie à quatre bandes"
"ZEZ"	"Zebrus zebrus"
"DDK"	"Didogobius kochi"
"AJL"	"Cabillus lacertops"
"GBO"	"Gobie lote"
"FGH"	"Caffrogobius agulhensis"
"MJL"	"Calamiana aliceae"
"GBG"	"Caragobioides geomys"
"SJP"	"Caspiosoma caspium"
"HTX"	"Chaeturichthys hexanema"
"HRV"	"Chiramenu fluviatilis"
"HBV"	"Chlamydogobius gloveri"
"HFP"	"Chonophorus macrorhynchus"
"HFS"	"Chriolepis fisheri"
"LGC"	"Clariger cosmurus"
"OGL"	"Gobie-corail nain"
"OGI"	"Coryogalops adamsoni"
"OUU"	"Cotylopus acutipinnis"
"RGN"	"Cristatogobius nonatoae"
"RLM"	"Croilia mossambica"
"YPB"	"Cryptocentroides arabicus"
"TGG"	"Ctenogobiops aurocingulus"
"TMU"	"Ctenotrypauchen microcephalus"
"DEQ"	"Deltentosteus quadrimaculatus"
"DPR"	"Discordipinna griessingeri"
"DBG"	"Drombus globiceps"
"EBG"	"Ebomegobius goodi"
"EOY"	"Economidichthys pygmaeus"
"EGO"	"Ego zebra"
"IBK"	"Grondin écailleux"
"UAY"	"Scorpaenodes elongatus"
"QBK"	"Rascasse tachetée"
"UEF"	"Poisson sabre énigme"
"BWN"	"Sabre fleuret"
"NZX"	"Rhinoptera spp"
"WIO"	"Sole-pole à trois taches"
"QOK"	"Sole fasciée"
"QOJ"	"Sole de Frechkop"
"QOI"	"Sole lusitanienne"
"ICI"	"Ceteau trompue"
"YMW"	"Sole de profondeur"
"YNW"	"Bathysolea polli"
"YGL"	"Fausse limande paté"
"YQI"	"Plagusie de Vanmelle"
"YQG"	"Sole-langue de Guinée"
"YQF"	"Sole-langue du Ghana"
"QCQ"	"Pagre des tropiques"
"DTF"	"Denté austral"
"WLK"	"Serranus africanus"
"WLJ"	"Serran ganéen"
"QZZ"	"Savon tacheté"
"JBH"	"Zenion longipinnis"
"JBF"	"Zenion hololepis"
"ZCD"	"Saint Pierre rouge"
"DMY"	"Allocyttus guineensis"
"UJC"	"Uranoscope à points blancs"
"UJB"	"Uranoscope boeuf"
"UIZ"	"Uranoscope miou"
"DKU"	"Platête commun"
"DKT"	"Platête de Guinée"
"QBY"	"Compère collier"
"QBV"	"Syngnathe à queue courte"
"HZI"	"Hippocampus algiricus"
"DDE"	"Cosmocampus retropinnis"
"VJX"	"Alestidae"
"VHX"	"Heterenchelyidae"
"VFX"	"Nemichthyidae"
"VDX"	"Ipnopidae"
"VBX"	"Platytroctidae"
"VCX"	"Phosichthyidae"
"RQX"	"Stomiidae"
"QZS"	"Stomias longibarbatus"
"QZT"	"Stomias lampropeltis"
"QZY"	"Stomias affinis"
"QBQ"	"Photonectes margarita"
"QBP"	"Photonectes leucospilus"
"QBM"	"Photonectes dinema"
"OUZ"	"Odontostomias micropogon"
"QCA"	"Melanostomias bartonbeani"
"JSO"	"Leptostomias longibarba"
"FAN"	"Eustomias melanostigma"
"FAK"	"Eustomias melanonema"
"FAI"	"Eustomias lipochirus"
"FAH"	"Eustomias filifer"
"FAF"	"Eustomias enbarbatus"
"FAA"	"Eustomias dendriticus"
"EZA"	"Eustomias achirus"
"DBR"	"Borostomias elucens"
"DBP"	"Bathophilus pawneei"
"DBL"	"Bathophilus brevis"
"HVN"	"Hippocampe hérissé"
"HVK"	"Hippocampus trimaculatus"
"HVH"	"Hippocampe d'estuaire"
"YBD"	"Oxyeleotris lineolata"
"QOF"	"Scortum barcoo"
"BZV"	"Bodianus vulpinus"
"XTY"	"Trachyscorpia spp"
"WLF"	"Latridopsis forsteri"
"WLX"	"Latridopsis spp"
"YHP"	"Mérou sept raies"
"ZEA"	"Zebrasoma scopas"
"NQG"	"Scolopsis rayé"
"OVH"	"Pomacentrus moluccensis"
"GFH"	"Gaterin rayé"
"YJZ"	"Marignan ardoisé"
"IBW"	"Tamarin vert"
"DBV"	"Dascyllus reticulatus"
"UUD"	"Chlorurus bowersi"
"IBV"	"Chromis margaritifer"
"IBT"	"Papillon à chevrons"
"IBM"	"Chaetodon speculum"
"KBA"	"Canthigaster valentini"
"DBS"	"Bourse à taches blanches"
"NBD"	"Anampses meleagrides"
"FAP"	"Poisson-clown de Clark"
"JCB"	"Mastacembelus cunningtoni"
"JBZ"	"Lophiobagrus cyclurus"
"IRQ"	"Lates stappersii"
"OKH"	"Poulpe téhuelche"
"OQC"	"Gros poulpe bleu"
"OKJ"	"Poulpe fouet"
"OCN"	"Poulpe tacheté"
"OCC"	"Pieuvre"
"OTY"	"Poulpe à rayures bleues"
"OUJ"	"Poulpe des sables"
"OTQ"	"Poulpe ris"
"OCQ"	"Poulpe casse-noix"
"OQD"	"Poulpe à longs bras"
"OQF"	"Poulpe géant"
"OQU"	"Poulpe nain"
"OQL"	"Poulpe globe"
"OQH"	"Poulpe bourdon"
"OQJ"	"Poulpe pygmé"
"OQB"	"Poulpe séganliou"
"OQY"	"Poulpe mexicain"
"OQR"	"Poulpe à quatre yeux"
"OQI"	"Octopus minor"
"OQV"	"Octopus oliveri"
"OQT"	"Poulpe de Saluzzi"
"OQN"	"Poulpe lune"
"OKZ"	"Poulpe zèbre"
"EOI"	"Élédone commune"
"EDT"	"Élédone musquée"
"EDY"	"Élédone peigne"
"YYA"	"Poulpe boreal"
"YYS"	"Poulpe globuleux"
"TLQ"	"Poulpe cornu"
"BTQ"	"Poulpe filamenteux"
"DTS"	"Poulpe dana"
"EXL"	"Poulpe lierre"
"UGU"	"Poulpe licorne"
"KTI"	"Poulpe vieille femme"
"OCJ"	"Poulpe à quatre cornes"
"TWP"	"Élédone noueux"
"TVG"	"Thaumeledone gunteri"
"KTP"	"Chiroteuthis picteti"
"KTV"	"Chiroteuthis veranii"
"HQB"	"Loutène bonnet"
"HQC"	"Histioteuthis corona"
"HQL"	"Loutène vase"
"HQG"	"Loutène longue"
"HQS"	"Loutène retournée"
"FTD"	"Loutène commune"
"FTB"	"Loutène battoir"
"BJF"	"Encornet de Pfeffer"
"YRM"	"Encornet-bijoutier"
"BLK"	"Abralia andamanica"
"BLJ"	"Encornet de Verany"
"NKL"	"Encornet cachalot"
"TID"	"Encornet boubou"
"WTS"	"Encornet lumière"
"YTH"	"Encornet ailes courtes"
"YTT"	"Encornet suçoir"
"GTE"	"Encornet boréopacifique"
"GTK"	"Encornet mako"
"GTI"	"Encornet atlantoboréal"
"GTJ"	"Encornet madokai"
"GTD"	"Encornet bras courts"
"GTY"	"Gonatus onyx"
"GTP"	"Encornet atlantique"
"YHA"	"Loutène abyssale"
"BQP"	"Encornet bras courts orné"
"BQR"	"Encornet bras courts commun"
"OKS"	"Encornet-poulpe de Ruppell"
"NID"	"Encornet poulpe dana"
"YUR"	"Chipiloua commun"
"PSG"	"Encornet austral"
"LHQ"	"Loutène australe"
"UHD"	"Opisthoteuthis depressa"
"NUK"	"Nautile flammé"
"NUX"	"Nautile bouton"
"RKS"	"Spirule"
"YXS"	"Calmar à nageoire denticulée"
"TUV"	"Pieuvre palmée"
"YHT"	"Pieuvre dimorphe"
"SSL"	"Lion de mer de Steller"
"SEN"	"Otarie des Pribilofs"
"CSL"	"Lion de mer de Californie"
"ASL"	"Lion de mer d'Australie"
"NSL"	"Lion de mer de N.lle-Zélande"
"SEF"	"Otarie d'Amérique du Sud"
"SGF"	"Otarie de Guadalupe"
"SEK"	"Otarie du Cap"
"SJF"	"Otarie de Juan Fernandez"
"IQN"	"Chrysichthys stappersii"
"IQM"	"Chrysichthys sianenna"
"IQL"	"Chrysichthys platycephalus"
"IBZ"	"Bathybates minor"
"IKW"	"Lamproie mexicaine"
"IKV"	"Lamproie de Jacona"
"IKU"	"Lamproie de l'Est"
"IKT"	"Lamproie de ruisseau d'Alaska"
"IKR"	"Lamproie de ruisseau du Pacif."
"IKQ"	"Lamproie de ruisseau turque"
"IKL"	"Lamproie coréenne"
"IKJ"	"Lamproie de ruisseau grecque"
"IKG"	"Eudontomyzon graecus"
"IKF"	"Lamproie de la rivière Klamath"
"IKE"	"Lamproie du lac Miller"
"IKD"	"Lamproie de l'île de Vancouver"
"IJZ"	"Lamproie du bassin Pit-Klamath"
"IJY"	"Lamproie de Californie centr."
"IJX"	"Lamproie de Californie septen."
"IDV"	"Lamproie de Lombardie"
"IDU"	"Lamproie de l'Extrême-Orient"
"IDT"	"Lamproie de la Transcaucasie"
"IDQ"	"Lamproie de Sibérie"
"IDO"	"Lamproie occidentale"
"IDN"	"Lamproie de ruisseau d'Europe"
"IDL"	"Lamproie de rivière de l'Ouest"
"IDK"	"Petite lamproie de ruisseau"
"IDJ"	"Lamproie d'Allegheny"
"IDI"	"Lamproie méridionale"
"IDH"	"Lamproie du Nord"
"IDG"	"Lamproie brune"
"IDE"	"Lamproie de l'Ohio"
"ICJ"	"Lamproie carpathique"
"ICF"	"Mordacia praecox"
"ICE"	"Lamproie du Chili"
"DDA"	"Abudefduf sordidus"
"DDD"	"Abudefduf vaigiensis"
"DGV"	"Acanthurus blochii"
"DGW"	"Acanthurus mata"
"DJP"	"Acentronura tentaculata"
"DJS"	"Maconde lumineux"
"DGY"	"Albula argentea"
"JWY"	"Comète ruban"
"JWZ"	"Allenbatrachus grunniens"
"JXA"	"Amblyeleotris diagonalis"
"JXB"	"Amblyeleotris downingi"
"JXC"	"Amblyeleotris periophthalma"
"JXD"	"Amblyeleotris triguttata"
"IEC"	"Amblygobius nocturnus"
"IED"	"Amphiprion sebae"
"JEA"	"Antennablennius bifilum"
"JEB"	"Antennablennius hypenetes"
"JEC"	"Antennablennius simonyi"
"JED"	"Antennablennius variopunctatus"
"AZZ"	"Antennarius indicus"
"ZAI"	"Sanglier indo-pacifique"
"QBZ"	"Apogon doré"
"QCC"	"Apogon coccineus"
"QCD"	"Ostorhinchus cookii"
"QCF"	"Ostorhinchus cyanosoma"
"QCG"	"Ostorhinchus fleurieu"
"QCH"	"Pristiapogon fraenatus"
"QCI"	"Ostorhinchus gularis"
"QCM"	"Apogon truncatus"
"QCN"	"Apogonichthyoides nigripinnis"
"QCO"	"Apogonichthyoides pseudotaeniatus"
"QCP"	"Apogon à deux selles"
"QLY"	"Apogon à stries oranges"
"KBK"	"Spare soldat"
"QXN"	"Maigre arabe"
"QXO"	"Arnoglossus aspilos"
"QXP"	"Arnoglossus tapeinosoma"
"OVB"	"Arothron immaculatus"
"QDZ"	"Aseraggodes cyaneus"
"FCQ"	"Asterropteryx semipunctata"
"FCW"	"Athérine têtue"
"FCZ"	"Aulastomatomorpha phospherops"
"HWN"	"Blenniella periophthalmus"
"FBC"	"Labre Diane"
"FBD"	"Boleophthalmus dussumieri"
"WLL"	"Sole d'orient"
"FYJ"	"Brachyamblyopus brachysoma"
"UGS"	"Bregmaceros rarisquamosus"
"YBE"	"Bryaninops yongei"
"SGA"	"Otarie des Galapagos"
"SEA"	"Otarie antarctique"
"SNZ"	"Otarie de Nouvelle-Zélande"
"SSF"	"Otarie sub-antarctique"
"SEL"	"Lion de mer d'Amérique du Sud"
"WAL"	"Morse"
"SMM"	"Phoque moine de Méditerranée"
"SKC"	"Phoque moine des Caraïbes"
"SMH"	"Phoque moine de Hawai"
"SNP"	"Éléphant de mer boréal"
"SES"	"Éléphant de mer austral"
"SRS"	"Phoque de Ross"
"SLP"	"Léopard de mer"
"SEH"	"Phoque du Groenland"
"SEC"	"Phoque veau marin"
"SER"	"Phoque annelé ou marbré"
"SLR"	"Phoque à rubans"
"SAC"	"Phoque de la Mer Caspienne"
"SBK"	"Phoque du lac Baikal"
"SST"	"Veau marin du Pacifique"
"SLW"	"Phoque de Weddell"
"SEB"	"Phoque barbu"
"SEZ"	"Phoque à crete"
"SEG"	"Phoque gris"
"SET"	"Phoque crabier"
"OTS"	"Loutre de mer d'Amérique Nord"
"OTM"	"Loutre de mer"
"BPL"	"Ours blanc"
"DUG"	"Dugong"
"WIM"	"Lamantin des Caraïbes"
"SEW"	"Lamantin de l'Amazone"
"WAM"	"Lamantin d'Afrique"
"GNS"	"Plataniste du Gange"
"BHU"	"Plataniste de l'Indus"
"BCW"	"Ziphius"
"BSW"	"Tasmacète"
"BBW"	"Baleine à bec de Blainville"
"BYW"	"Baleine à bec de Gray"
"TGW"	"Baleine à bec de Nishiwaki"
"BHW"	"Baleine à bec d'Hector"
"BUW"	"Baleine à bec de Hubbs"
"BPW"	"Baleine à bec pygmée"
"BWW"	"Baleine à bec de Sowerby"
"BGW"	"Baleine à bec de Gervais"
"BTW"	"Baleine à bec de True"
"TSW"	"Baleine à bec de Layard"
"BDW"	"Baleine à bec de Bowdoin"
"BNW"	"Baleine à bec de Longman"
"BJW"	"Baleine à bec de Stejneger"
"BOW"	"Hyperoodon boréal"
"SRW"	"Hyperoodon austral"
"BAW"	"Béradien d'Arnoux"
"BEW"	"Baleine à bec de Baird"
"SPW"	"Cachalot"
"IRD"	"Orcelle"
"IDB"	"Dauphin australien de Heinsohn"
"FAW"	"Faux-orque"
"PIW"	"Globicéphale commun"
"SHW"	"Globicéphale tropical"
"KPW"	"Orque pygmée"
"DCO"	"Dauphin commun"
"DCZ"	"Dauphin commun a bec large"
"DRR"	"Grampus"
"MEW"	"Péponocéphale"
"TUC"	"Sotalia"
"TZG"	"Dauphin de Guyane"
"DHA"	"Dauphin à bosse de l'Atlantiq."
"DHI"	"Dauphin à bosse indo-pacifique"
"RTD"	"Sténo"
"KIW"	"Orque"
"RNW"	"Dauphin à dos lisse boréal"
"RSW"	"Dauphin aptère austral"
"CMD"	"Dauphin de Commerson"
"HVD"	"Dauphin d'Heaviside"
"HCD"	"Dauphin d'Hector"
"CHD"	"Dauphin noir du Chili"
"DWP"	"Dauphin à flancs blancs Pacif."
"DDU"	"Dauphin sombre"
"BWD"	"Dauphin à bec blanc"
"DWH"	"Dauphin à flancs blancs Atlan."
"HRD"	"Dauphin crucigére"
"PLD"	"Dauphin de Peale"
"DBO"	"Grand dauphin"
"DBZ"	"Grand dauphin indo-pacifique"
"YBI"	"Callionymus carebares"
"YBL"	"Callionymus erythraeus"
"YBR"	"Callionymus filamentosus"
"YBY"	"Callionymus hindsii"
"YBZ"	"Callionymus japonicus"
"YCC"	"Callionymus margaretae"
"YCO"	"Dragonnet de sable"
"YCY"	"Callionymus persicus"
"YCZ"	"Callionymus sagitta"
"IHP"	"Callogobius bifasciatus"
"IHQ"	"Callogobius plumatus"
"FHS"	"Centriscus scutatus"
"YDY"	"Cephalopsetta ventrocellatus"
"IVW"	"Chaetodon collare"
"IVY"	"Chaetodon gardineri"
"IWA"	"Chaetodon melapterus"
"IWB"	"Chaetodon nigropunctatus"
"IWC"	"Papillon vagabond"
"FJN"	"Chauliodus pammelas"
"HWT"	"Vieille balayette"
"HWW"	"Cheilodipterus arabicus"
"HWY"	"Apogon à grandes dents"
"HWZ"	"Cheilodipterus novemstriatus"
"HZB"	"Cheilodipterus persicus"
"IIB"	"Chromis flavaxilla"
"IID"	"Chromis weberi"
"IIE"	"Chromis xanthopterygia"
"YYK"	"Chrysiptera sheila"
"YYM"	"Chrysiptera unimaculata"
"IRO"	"Empervier de corail"
"IRP"	"Cirripectes filamentosus"
"JCY"	"Colletteichthys dussumieri"
"JCZ"	"Clarisse clown"
"JDA"	"Girelle reine"
"QCT"	"Coryogalops anomolus"
"QCU"	"Coryogalops monospilus"
"QCV"	"Coryogalops tessellatus"
"DBY"	"Corythoichthys haematopterus"
"DDN"	"Cosmocampus investigatoris"
"YRZ"	"Cryptocentrus cryptocentrus"
"YSG"	"Cryptocentrus lutheri"
"DVI"	"Cyclichthys carpenteri"
"DVJ"	"Cyclichthys kopsii"
"DVK"	"Langue de Lachner"
"DVH"	"Porc-épine bécard"
"DVL"	"Cyclichthys sealarki"
"DYW"	"Grondin volant oriental"
"DCJ"	"Dascyllus trimaculatus"
"DEV"	"Mérou lisse"
"DMS"	"Dinematichthys iluocoeteoides"
"DKP"	"Diodon liturosus"
"DGT"	"Diplogrammus pygmaeus"
"DCQ"	"Doryrhamphus excisus"
"QCR"	"Jaydia queketti"
"IVZ"	"Roa jayakari"
"TZW"	"Takifugu xanthopterus"
"TZQ"	"Takifugu flavidus"
"TXV"	"Takifugu spp"
"WCH"	"Chimère opale"
"RJV"	"Raie la palote"
"FRD"	"Dauphin de Fraser"
"DPN"	"Dauphin tacheté pantropical"
"DSI"	"Dauphin longirostre"
"DST"	"Dauphin bleu et blanc"
"DSA"	"Dauphin tacheté de l'Atlantiq."
"DCL"	"Dauphin de Clyméné"
"SPP"	"Marsouin de Lahille"
"PHR"	"Marsouin commun"
"BRP"	"Marsouin de Burmeister"
"VAQ"	"Marsouin du golfe de Californi"
"PFI"	"Marsouin aptère"
"PDA"	"Marsouin de Dall"
"BEL"	"Bélouga"
"NAR"	"Narval"
"PYW"	"Cachalot pygmée"
"DWW"	"Cachalot nain"
"BOT"	"Inia"
"BJI"	"Dauphin fluviatil de Chine"
"FRA"	"Dauphin de la Plata"
"MIW"	"Petit rorqual"
"BRW"	"Rorqual de Bryde"
"SIW"	"Rorqual de Rudolphi"
"BLW"	"Rorqual bleu"
"FIW"	"Rorqual commun"
"BFW"	"Petit rorqual antarctique"
"HUW"	"Baleine à bosse"
"EUG"	"Baleine de Biscaye"
"EUA"	"Baleine australe"
"BMY"	"Baleine du Groenland"
"GRW"	"Baleine grise"
"CPM"	"Baleine pygmée"
"FOU"	"Rana fuscigula"
"FOV"	"Rana vertebralis"
"FOY"	"Rana blythii"
"FRH"	"Rana hexadactyla"
"FRM"	"Rana magna"
"FRK"	"Rana cancrivora"
"FRT"	"Hoplobatrachus tigerinus"
"FOS"	"Hoplobatrachus crassus"
"FOP"	"Rana cyanophlyctis"
"FOI"	"Rana limnocharis"
"FGM"	"Grenouille agile"
"FGK"	"Grenouille commune"
"FGL"	"Grenouille de Lessona"
"FGI"	"Grenouille rieuse"
"FGT"	"Grenouille rousse"
"FGC"	"Rana graeca"
"FOE"	"Rana latastei"
"RLG"	"Rana aurora"
"FOK"	"Grenouille-taureau américaine"
"FGY"	"Rana grylio"
"FGP"	"Rana pipiens"
"FRQ"	"Rana heckscheri"
"KUO"	"Conraua goliath"
"YXD"	"Pyxicephalus adspersus"
"XUM"	"Xenopus muelleri"
"XUL"	"Xénope lisse"
"YUC"	"Leptodactylus ocellatus"
"YUE"	"Leptodactylus pentadactylus"
"CVC"	"Caudiverbera caudiverbera"
"FQC"	"Telmatobius culeus"
"GFO"	"Glyphoglossus molossus"
"DKK"	"Tortue luth"
"AYK"	"Trachemys scripta"
"AYW"	"Tortue diamant"
"LKY"	"Tortue de Kemp"
"LKV"	"Tortue olivatre"
"FBT"	"Tortue plate"
"KEZ"	"Tortue verte du Pacifique est"
"TUG"	"Tortue verte"
"TTH"	"Tortue caret"
"TTL"	"Caouane"
"TTS"	"Trionyx sinensis"
"AJK"	"Hydrophis stokesii"
"EHQ"	"Hydrophis schistosus"
"YDK"	"Hydrophis cyanocinctus"
"LKZ"	"Lapemis curtus"
"MFW"	"Microcephalophis gracilis"
"EPX"	"Hydrophis platurus"
"PKX"	"Hydrophis viperinus"
"LKF"	"Laticauda semifasciata"
"IMO"	"Caiman latirostris"
"IMY"	"Caiman yacare"
"CAI"	"Caïman à lunettes"
"AGM"	"Alligator américain"
"GTW"	"Alligator sinensis"
"CDP"	"Crocodile d'estuaires"
"CDS"	"Crocodile siamois"
"CRH"	"Crocodile australien"
"CRI"	"Crocodile du Nil"
"CNG"	"Crocodile de Nouvelle-Guinée"
"CMB"	"Crocodile cubain"
"CME"	"Crocodile de Morelet"
"YUU"	"Crocodylus acutus"
"YUK"	"Crocodylus cataphractus"
"YUN"	"Crocodylus intermedius"
"YUQ"	"Crocodylus mindorensis"
"KKU"	"Crocodylus palustris"
"OSW"	"Osteolaemus tetraspis"
"GHF"	"Faux gavial"
"GVG"	"Gavialis gangeticus"
"MHW"	"Melanosuchus niger"
"UCB"	"Paleosuchus palpebrosus"
"UCI"	"Paleosuchus trigonatus"
"PHU"	"Albatros brun"
"PHE"	"Albatros fuligineux"
"DAM"	"Albatros de l'île d'Amsterdam"
"DIP"	"Albatros royal"
"DIX"	"Albatros hurleur"
"DIW"	"Albatros de Gibson"
"DIQ"	"Albatros royal du Nord"
"DQS"	"Albatros des antipodes"
"DBN"	"Albatros de Tristan"
"DIZ"	"Albatros de Laysan"
"DKN"	"Albatros à pieds noirs"
"DPK"	"Albatros des Galapagos"
"TQH"	"Albatros de l'océan indien"
"TQW"	"Albatros de l'île Campbell"
"DIM"	"Albatros à sourcils noirs"
"DIB"	"Albatros de Buller"
"DCU"	"Albatros timide"
"DCR"	"Albatros à nez jaune"
"DIC"	"Albatros à tête grise"
"DER"	"Albatros des Chatham"
"DKS"	"Albatros de Salvin"
"TWD"	"Albatros à cape blanche"
"PFC"	"Puffin à pieds pâles"
"PUC"	"Puffin à pieds roses"
"PUG"	"Puffin majeur"
"PFG"	"Puffin fuligineux"
"PFT"	"Puffin à bec grêle"
"PFJ"	"Puffin volage"
"PFQ"	"Puffin de Hutton"
"PFZ"	"Puffin fouquet"
"PRO"	"Puffin à menton blanc"
"PCI"	"Puffin gris"
"PRK"	"Puffin de Parkinson"
"PCW"	"Puffin du Westland"
"PCN"	"Pétrel à lunettes"
"PDM"	"Pétrel noir"
"PVB"	"Pétrel de Kerguelen"
"PWL"	"Pétrel de Lesson"
"PWU"	"Pétrel à col blanc"
"PWA"	"Pétrel de Gould"
"PWO"	"Pétrel de Solander"
"PVH"	"Pétrel maculé"
"TAA"	"Fulmar antarctique"
"MAI"	"Pétrel géant"
"MAH"	"Pétrel de Hall"
"FUG"	"Fulmar argenté"
"CDI"	"Puffin cendré"
"DAC"	"Damier du Cap"
"PWD"	"Prion de la Désolation"
"PWV"	"Prion colombe"
"PWP"	"Pétrel des neiges"
"PWZ"	"Grand pétrel des neiges"
"HBE"	"Prion bleu"
"WTP"	"Pseudobulweria rostrata"
"OCO"	"Océanite de Wilson"
"FGQ"	"Océanite à ventre noir"
"WFS"	"Océanite frégate"
"CSK"	"Catharacta skua"
"CAM"	"Labbe de MacCormick"
"CAQ"	"Stercorarius antarcticus"
"CTH"	"Labbe du Chili"
"SVI"	"Sterna couronnée"
"SVB"	"Sterna bergii"
"SVJ"	"Sterne fuligineuse"
"LDO"	"Goéland dominicain"
"LHW"	"Mouette argentée"
"PYD"	"Manchot d'Adélie"
"..."	"Phascolosomatidae"
"PYN"	"Manchot à jugulaire"
"PYP"	"Manchot papou"
"EUC"	"Gorfou doré"
"EVQ"	"Gorfou sauteur"
"KPY"	"Manchot royal"
"SWS"	"Chionis alba"
"ISQ"	"Cormoran impérial"
"MVR"	"Fou austral"
"DSQ"	"Fou masqué"
"QDP"	"Puffinure de Géorgie du Sud"
"HGQ"	"Éponge commune"
"HGH"	"Hippospongia lachne"
"QGA"	"Oreille d'éléphant"
"QGB"	"Spongia barbara"
"QGG"	"Spongia graminea"
"QGO"	"Éponge fine grecque"
"QGT"	"Spongia tubulifera"
"QGN"	"Éponge mammelonnée"
"QGZ"	"Chimousse"
"MHF"	"Millepora platyphylla"
"AQE"	"Aequorea forskalea"
"AJQ"	"Méduse commune"
"MFX"	"Méduse tête-de-choux"
"MHX"	"Stomolophus nomurai"
"CWY"	"Chrysaora hysoscella"
"RQU"	"Rhopilema esculentum"
"RQO"	"Rhopilema nomadica"
"RQS"	"Rhopilema asamushi"
"RQI"	"Rhopilema hispidum"
"COL"	"Corail Sardaigne"
"COJ"	"Corail aka"
"CEL"	"Corail momo"
"COK"	"Corail blanc"
"CSE"	"Corail peau d'ange"
"COG"	"Corail grenat"
"CDE"	"Corail de profondeur de Midway"
"KQF"	"Acropora palifera"
"KQO"	"Acropora florida"
"KQM"	"Acropora formosa"
"KQH"	"Acropora humilis"
"KQY"	"Acropora hyacinthus"
"KQN"	"Actinie pourpre"
"KJC"	"Anemone-ceinture"
"NOW"	"Anemone de mer"
"KYU"	"Anemone dorée"
"GQP"	"Corail glacier"
"LXP"	"Corail foliace"
"PVS"	"Corail scapulaire"
"PVN"	"Corail pilier"
"PVT"	"Pavona decussata"
"PVW"	"Corail champignon"
"EHW"	"Euphyllia glabrescens"
"FVF"	"Favia favus"
"YCG"	"Corail champignon courbe"
"DSS"	"Corail champignon distordu"
"FJP"	"Fungia paumotensis"
"FJF"	"Fungia fungites"
"FJE"	"Fungia echinata"
"FJD"	"Fungia danai"
"HQQ"	"Halomitra pileus"
"YYT"	"Polyphyllia talpina"
"HKQ"	"Heliopora coerulea"
"KKK"	"Anemone du Pagure"
"MVM"	"Merulina ampliata"
"LFO"	"Lobophyllia corymbosa"
"LHM"	"Lobophyllia hemprichii"
"PQK"	"Pectinia lactuca"
"OIM"	"Corail choufleur"
"OIY"	"Corne d'elan"
"OIX"	"Corail lime"
"OJQ"	"Corail brocoli"
"SJY"	"Seriatopora hystrix"
"SDZ"	"Seriatopora caliendrum"
"YPQ"	"Stylophora pistillata"
"QTP"	"Petit corail étoile"
"QTL"	"Corail étoile lisse"
"YGE"	"Platygyra daedalea"
"ORG"	"Tubipora musica"
"ADQ"	"Antipathes dichotoma"
"AGB"	"Antipathes grandis"
"LZO"	"Lepidisis olapa"
"NQD"	"Mnemiopsis mccradyi"
"NQY"	"Mnemiopsis leidyi"
"BKW"	"Brachionus plicatilis"
"BKX"	"Brachionus rotundiformis"
"BKZ"	"Brachionus calyciflorus"
"NEH"	"Nephtys hombergii"
"YYP"	"Capucin orange"
"..."	"Anseriformes"
"..."	"Calcarea"
"..."	"Falconiformes"
"..."	"Gaviiformes"
"..."	"Podicipediformes"
"..."	"Stromateoidei"
"..."	"Anabantoidei"
"..."	"Decapoda"
"..."	"Acanthogorgiidae"
"..."	"Accipitridae"
"..."	"Aegidae"
"..."	"Alcyoniidae"
"..."	"Antarcturidae"
"..."	"Antedonidae"
"..."	"Anthoptilidae"
"..."	"Aphroditidae"
"..."	"Arachnopusiidae"
"..."	"Arcturididae"
"..."	"Ascidiidae"
"..."	"Asterinidae"
"..."	"Asteronychidae"
"..."	"Astropectinidae"
"..."	"Austrodecidae"
"..."	"Bathypolypodinae"
"..."	"Benthopectinidae"
"..."	"Calliostomatidae"
"..."	"Callipallenidae"
"..."	"Callyspongiidae"
"..."	"Calwelliidae"
"..."	"Calyptraeidae"
"..."	"Capneidae"
"..."	"Celleporidae"
"..."	"Chiridotidae"
"..."	"Clavulariidae"
"..."	"Colossendeidae"
"..."	"Crellidae"
"..."	"Cucumariidae"
"..."	"Dendrophylliidae"
"..."	"Diazonidae"
"..."	"Dorididae"
"..."	"Echinasteridae"
"..."	"Euciroidae"
"..."	"Eunicidae"
"..."	"Euretidae"
"..."	"Flabellidae"
"..."	"Flustridae"
"..."	"Funiculinidae"
"..."	"Ganeriidae"
"..."	"Gaviidae"
"..."	"Gnathiidae"
"..."	"Goniasteridae"
"..."	"Gorgonocephalidae"
"..."	"Halipteridae"
"..."	"Hemithyrididae"
"..."	"Holozoidae"
"..."	"Hyperiidae"
"..."	"Irciniidae"
"..."	"Labidiasteridae"
"..."	"Leptochitonidae"
"..."	"Leucettidae"
"..."	"Liponematidae"
"..."	"Lysianassidae"
"..."	"Molgulidae"
"..."	"Molpadiidae"
